Origination Date,DTI,FICO,Number of Loans,color,greenDTI,redDTI
2017-01-01,28,670,115,#DA575D,#559E93,#F5986A
2017-01-01,28,675,124,#DB5A5B,#559E93,#F5986A
2017-01-01,28,680,163,#DE6355,#559E93,#F5986A
2017-01-01,28,685,157,#DD6057,#559E93,#F5986A
2017-01-01,28,690,182,#DF6653,#559E93,#F5986A
2017-01-01,28,695,184,#DF6653,#559E93,#F5986A
2017-01-01,28,700,215,#E16F4D,#559E93,#F5986A
2017-01-01,28,705,247,#E37548,#559E93,#F5986A
2017-01-01,28,710,262,#E37846,#559E93,#F5986A
2017-01-01,28,715,249,#E37548,#559E93,#F5986A
2017-01-01,28,720,267,#E37846,#559E93,#F5986A
2017-01-01,28,725,285,#E57D42,#559E93,#F5986A
2017-01-01,28,730,264,#E37846,#559E93,#F5986A
2017-01-01,28,735,263,#E37846,#559E93,#F5986A
2017-01-01,28,740,300,#E5803F,#559E93,#F5986A
2017-01-01,28,745,319,#E6833D,#559E93,#F5986A
2017-01-01,28,750,337,#E78839,#559E93,#F5986A
2017-01-01,28,755,387,#E89132,#559E93,#F5986A
2017-01-01,28,760,391,#E89132,#559E93,#F5986A
2017-01-01,28,765,451,#E99E2A,#559E93,#F5986A
2017-01-01,28,770,469,#E9A129,#559E93,#F5986A
2017-01-01,28,775,521,#EAAC28,#559E93,#F5986A
2017-01-01,28,780,562,#E9B42C,#559E93,#F5986A
2017-01-01,28,785,614,#E9BF36,#559E93,#F5986A
2017-01-01,28,790,653,#E8C43D,#559E93,#F5986A
2017-01-01,28,795,682,#E7CC48,#559E93,#F5986A
2017-01-01,28,800,781,#E4DD6B,#559E93,#F5986A
2017-01-01,28,805,533,#EAAF29,#559E93,#F5986A
2017-01-01,28,810,549,#EAB12A,#559E93,#F5986A
2017-01-01,28,815,301,#E5803F,#559E93,#F5986A
2017-01-01,28,820,94,#D9545F,#559E93,#F5986A
2017-01-01,28,825,27,#D44368,#559E93,#F5986A
2017-01-01,30,620,10,#D33F6A,#4B988F,#F49265
2017-01-01,30,625,16,#D33F6A,#4B988F,#F49265
2017-01-01,30,630,21,#D44368,#4B988F,#F49265
2017-01-01,30,635,12,#D33F6A,#4B988F,#F49265
2017-01-01,30,640,19,#D33F6A,#4B988F,#F49265
2017-01-01,30,645,23,#D44368,#4B988F,#F49265
2017-01-01,30,650,27,#D44368,#4B988F,#F49265
2017-01-01,30,655,40,#D54766,#4B988F,#F49265
2017-01-01,30,660,32,#D44368,#4B988F,#F49265
2017-01-01,30,665,36,#D54766,#4B988F,#F49265
2017-01-01,30,670,51,#D64A65,#4B988F,#F49265
2017-01-01,30,675,40,#D54766,#4B988F,#F49265
2017-01-01,30,680,56,#D64A65,#4B988F,#F49265
2017-01-01,30,685,59,#D64A65,#4B988F,#F49265
2017-01-01,30,690,78,#D85161,#4B988F,#F49265
2017-01-01,30,695,78,#D85161,#4B988F,#F49265
2017-01-01,30,700,82,#D85161,#4B988F,#F49265
2017-01-01,30,705,78,#D85161,#4B988F,#F49265
2017-01-01,30,710,85,#D85161,#4B988F,#F49265
2017-01-01,30,715,101,#D9545F,#4B988F,#F49265
2017-01-01,30,720,114,#DA575D,#4B988F,#F49265
2017-01-01,30,725,136,#DC5D59,#4B988F,#F49265
2017-01-01,30,730,110,#DA575D,#4B988F,#F49265
2017-01-01,30,735,120,#DB5A5B,#4B988F,#F49265
2017-01-01,30,740,103,#D9545F,#4B988F,#F49265
2017-01-01,30,745,127,#DB5A5B,#4B988F,#F49265
2017-01-01,30,750,122,#DB5A5B,#4B988F,#F49265
2017-01-01,30,755,144,#DC5D59,#4B988F,#F49265
2017-01-01,30,760,147,#DD6057,#4B988F,#F49265
2017-01-01,30,765,143,#DC5D59,#4B988F,#F49265
2017-01-01,30,770,156,#DD6057,#4B988F,#F49265
2017-01-01,30,775,183,#DF6653,#4B988F,#F49265
2017-01-01,30,780,197,#E06951,#4B988F,#F49265
2017-01-01,30,785,210,#E06C4F,#4B988F,#F49265
2017-01-01,30,790,229,#E2724B,#4B988F,#F49265
2017-01-01,30,795,235,#E2724B,#4B988F,#F49265
2017-01-01,30,800,277,#E47A44,#4B988F,#F49265
2017-01-01,30,805,195,#E06951,#4B988F,#F49265
2017-01-01,30,810,184,#DF6653,#4B988F,#F49265
2017-01-01,30,815,111,#DA575D,#4B988F,#F49265
2017-01-01,30,820,31,#D44368,#4B988F,#F49265
2017-01-01,30,825,17,#D33F6A,#4B988F,#F49265
2017-01-01,32,620,20,#D33F6A,#40928A,#F48C5F
2017-01-01,32,625,59,#D64A65,#40928A,#F48C5F
2017-01-01,32,630,67,#D74D63,#40928A,#F48C5F
2017-01-01,32,635,54,#D64A65,#40928A,#F48C5F
2017-01-01,32,640,81,#D85161,#40928A,#F48C5F
2017-01-01,32,645,87,#D85161,#40928A,#F48C5F
2017-01-01,32,650,102,#D9545F,#40928A,#F48C5F
2017-01-01,32,655,96,#D9545F,#40928A,#F48C5F
2017-01-01,32,660,130,#DB5A5B,#40928A,#F48C5F
2017-01-01,32,665,136,#DC5D59,#40928A,#F48C5F
2017-01-01,32,670,163,#DE6355,#40928A,#F48C5F
2017-01-01,32,675,185,#DF6653,#40928A,#F48C5F
2017-01-01,32,680,189,#E06951,#40928A,#F48C5F
2017-01-01,32,685,199,#E06951,#40928A,#F48C5F
